index,Name,# Features,# Categorical Features,# Instances,# Classes,# NaNs,Minority Class Size,id,roc,pred_time,cross_entropy,accuracy
0,pollen,6,1,3848,2,0,1924,871,0.4764322329345158,1.3022046089172363,0.6954580515375256,0.4838877338877339
1,Sick_numeric,30,1,3772,2,0,231,41946,0.9532266458495966,0.640923261642456,0.11287131285609714,0.9612937433722163
2,jungle_chess_2pcs_endgame_rat_rat,47,27,3660,2,0,1605,41005,1.0,0.3876204490661621,0.0038497398987581747,1.0
4,led24,25,25,3200,10,0,296,40677,0.9468303954990809,2.0951719284057617,0.9251562727193959,0.7125
5,led7,8,8,3200,10,0,270,40678,0.9485238734628721,2.114980936050415,0.9065288139829499,0.73125
6,kr-vs-kp,37,37,3196,2,0,1527,3,0.999760308309312,2.1490120887756348,0.03165451972934993,0.990613266583229
8,space_ga,7,1,3107,2,0,1541,737,0.943082226157131,1.0261046886444092,0.30174896484298575,0.8796653796653797
10,seismic-bumps,19,5,2584,2,0,170,45562,0.753484009746052,1.5657460689544678,0.2124047986732366,0.9373065015479877
11,ozone-level-8hr,73,1,2534,2,0,160,1487,0.9186572130056676,1.5478663444519043,0.1406033611209443,0.9518547750591949
12,jungle_chess_2pcs_endgame_lion_lion,47,27,2352,2,0,949,41007,0.9988896925966607,0.20473718643188477,0.04429058367456669,0.983843537414966
13,jungle_chess_2pcs_endgame_elephant_elephant,47,27,2351,2,0,1035,40999,1.0,0.2272179126739502,0.003135084610775607,1.0
14,segment,20,1,2310,7,0,330,36,0.9985849295719857,0.18528127670288086,0.0923813508851421,0.9722943722943723
15,Titanic,4,1,2201,2,0,711,40704,0.7745590920648129,0.1612529754638672,0.4734710852051328,0.7938237965485921
16,quake,4,1,2178,2,0,969,772,0.531510005981837,0.4640340805053711,0.6914945443471273,0.5436179981634527
17,kc1,22,1,2109,2,0,326,1067,0.8533116763366576,0.1693439483642578,0.31231946122272036,0.8729857819905213
18,balloon,2,1,2001,2,0,482,914,0.8797076555961589,0.14590954780578613,0.3299388226782708,0.8551448551448552
19,mfeat-fourier,77,1,2000,10,0,200,14,0.9791099193451878,0.3071751594543457,0.49975933778408943,0.796
20,ozone-level-8hr_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,73,1,2000,2,0,126,44548,0.8948687977503345,0.3152599334716797,0.1785903815986544,0.94
21,mfeat-karhunen,65,1,2000,10,0,200,16,0.9987348282899436,1.0705523490905762,0.15156157499139955,0.964
22,jannis_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,55,1,2000,2,0,1000,44428,0.8217125896057349,0.18004369735717773,0.5231083382838405,0.742
23,covertype_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,55,45,2000,2,0,1000,44443,0.8696579145266325,1.099151611328125,0.4572847843300551,0.791
24,first-order-theorem-proving_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,52,1,2000,6,0,159,44663,0.7845784317238036,0.2976193428039551,1.267166514508426,0.537
25,MiniBooNE_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,51,1,2000,2,0,1000,44412,0.9552792347300071,1.101919174194336,0.27366008375628736,0.883
26,KDDCup09_upselling_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,50,16,2000,2,0,1000,44463,0.839007900790079,0.1802682876586914,0.49331049249740316,0.756
27,ada_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,49,1,2000,2,0,496,44568,0.9162883223974461,0.5607447624206543,0.3150151011418857,0.853
28,mfeat-zernike,48,1,2000,10,0,200,22,0.981935910026382,0.16704463958740234,0.36752398795554975,0.826
30,kr-vs-kp_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,37,37,2000,2,0,956,44643,0.9996437206770108,0.17292094230651855,0.04078646827478872,0.989
31,road-safety_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,33,4,2000,2,0,1000,44453,0.8015424679487179,0.15406274795532227,0.5470708016394638,0.711
32,GesturePhaseSegmentationProcessed_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,33,1,2000,5,0,202,44668,0.7706646666623056,0.559884786605835,1.2461947653889656,0.514
33,PhishingWebsites_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,31,31,2000,2,0,886,44673,0.9888365676743894,1.1001734733581543,0.1314357498092786,0.956
34,pol_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,27,1,2000,2,0,1000,44382,0.9956611528822055,0.5524053573608398,0.08774399835961223,0.962
35,Higgs_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,25,1,2000,2,0,1000,44417,0.7020063729964292,0.15185761451721191,0.6180942233938258,0.63
36,eye_movements_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,24,4,2000,2,0,1000,44438,0.5670791475129127,1.0767171382904053,0.6869068920016289,0.552
37,numerai28.6_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,22,1,2000,2,0,990,44493,0.5357272861823025,0.28408002853393555,0.69347427713871,0.497
38,kc1_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,22,1,2000,2,0,309,44628,0.8279627144357569,1.1128966808319092,0.36226939540263264,0.851
39,kdd_ipums_la_97-small_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,21,1,2000,2,0,1000,44392,0.9019658830871645,1.0505993366241455,0.34637683024881655,0.849
40,churn_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,21,5,2000,2,0,283,44658,0.9095072342882807,1.0862889289855957,0.22699503313409514,0.931
41,compass_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,18,10,2000,2,0,1000,44458,0.7468946894689469,0.30658960342407227,0.6068211634159089,0.671
42,house_16H_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,17,1,2000,2,0,1000,44387,0.9343854385438544,0.5500030517578125,0.34920817888792727,0.857
43,segment_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True,17,1,2000,7,0,285,44633,0.9925829971061978,1.0643439292907715,0.21354746430478463,0.926
